mu0	sigma0	mu1	sigma1	p00	p11
15.25575817	0.326741841	15.73614363	0.245059741	0.740400346	0.665266938
15.40101625	0.334224332	15.872991	0.25950522	0.726891419	0.683564415
15.37270959	0.321802153	15.86024067	0.239583015	0.752595038	0.689437744
15.4273744	0.32449409	15.90749695	0.240959799	0.753520936	0.673562182
15.14779225	0.329114429	15.62973183	0.260266909	0.717963765	0.635580105
15.09063826	0.330327518	15.56915266	0.258170237	0.714253246	0.618837173
15.28665453	0.326989842	15.77191297	0.249596075	0.741278412	0.659657354
15.15181049	0.329349106	15.62996053	0.253372677	0.702991731	0.655594007
15.23455594	0.334366692	15.72086595	0.248722959	0.718402923	0.64064851
15.33461055	0.331504631	15.82037158	0.243070806	0.743543395	0.639733255
15.10705798	0.332311061	15.59033472	0.275058114	0.7345865	0.644144924
15.16066312	0.326472767	15.64058665	0.252782573	0.723238155	0.620127305
15.19845294	0.326982469	15.67050607	0.244726908	0.721688048	0.651240327
15.1218839	0.325892956	15.61410234	0.258389096	0.722199475	0.581978559
15.37078047	0.334187709	15.81242692	0.275138356	0.6921649	0.661341551
15.27335087	0.329265563	15.75959946	0.242935305	0.745648797	0.650797839
15.23987172	0.33345656	15.72069029	0.250140417	0.72355572	0.68344806
15.10625082	0.318074483	15.57180466	0.243705094	0.73162885	0.663454581
15.07055052	0.315413628	15.55024605	0.248160602	0.749190061	0.648547247
14.88918445	0.311863349	15.37007863	0.258730061	0.743258301	0.647156436
15.24146424	0.316462142	15.71162516	0.243322295	0.716777899	0.658346575
15.30998786	0.325566624	15.7813713	0.241634759	0.732314652	0.650925448
15.41010266	0.328955804	15.87714716	0.243000613	0.733062196	0.677625542
15.30534809	0.32310321	15.76423281	0.235523164	0.717494131	0.639379174
15.26911605	0.330971677	15.75626878	0.243548209	0.762356889	0.666072686
15.26263851	0.337632573	15.755692	0.231066291	0.738374455	0.622743106
15.57507727	0.323685042	16.02481722	0.24295383	0.71552012	0.686401517
15.38725857	0.330146451	15.85203488	0.246874688	0.715254267	0.673872253
15.5532999	0.322763639	16.01234417	0.233136281	0.731085722	0.673046227
15.5916561	0.334694273	16.03496717	0.24583758	0.701432618	0.686217263
15.57592654	0.3257419	16.05812168	0.239712118	0.742292386	0.665950701
15.58586265	0.321799577	16.05150492	0.227206879	0.726877706	0.652163487
15.51343896	0.330958689	15.97054724	0.241132932	0.693358753	0.636199888
15.35852417	0.335999179	15.81251045	0.259492696	0.677890078	0.641326319
15.25900241	0.320582084	15.71624249	0.248100369	0.696583241	0.635819332
15.40936774	0.320431245	15.87312138	0.244667461	0.715439358	0.65860955
15.29927719	0.330892698	15.77138877	0.241983774	0.728661565	0.623933674
15.34673691	0.3147102	15.82619262	0.220958426	0.739397867	0.631895106
15.36133357	0.318127261	15.85615934	0.220762309	0.748334164	0.628703063
15.27881193	0.33029017	15.76130219	0.246864766	0.745456776	0.661406932
