mu0	sigma0	mu1	sigma1	p00	p11
15.26103384	0.266284508	15.66523608	0.187038902	0.701148101	0.751574203
15.28041333	0.271201854	15.68824534	0.181378163	0.72825932	0.728561573
15.2541041	0.264308065	15.6676826	0.183232889	0.683859087	0.732332379
15.23301945	0.25347869	15.66096999	0.187937317	0.668450936	0.725214736
15.26209123	0.263858357	15.68791895	0.179157811	0.679291993	0.64679088
15.23850008	0.255671893	15.66602811	0.187785687	0.634249087	0.634137071
15.24452034	0.258914188	15.67292032	0.19615262	0.616583963	0.600341696
15.24437087	0.258622943	15.66917268	0.197167098	0.610913881	0.569048709
15.24598423	0.260143934	15.6772702	0.208525395	0.583272046	0.512833147
15.23210514	0.256129944	15.66459686	0.212095298	0.572517977	0.548251951
15.21226847	0.248680381	15.64944078	0.220335928	0.546947331	0.562394046
15.2094782	0.2449057	15.66096184	0.216929729	0.545415438	0.569948278
15.2431389	0.252750986	15.70791846	0.205407913	0.579238928	0.379175317
13.82778508	0.369745044	15.46042703	0.3043498	0.18728863	0.967234218
13.89148149	0.381999173	15.46039958	0.304485026	0.199168527	0.965895468
14.30358771	0.58158667	15.47115206	0.299052605	0.206214991	0.9586415
14.30642519	0.599240879	15.48143695	0.298479742	0.159247733	0.957654287
14.14197288	0.511858793	15.48804798	0.295191994	0.13164709	0.95775021
13.93255286	0.395440512	15.49308477	0.292959235	0.167486494	0.959474917
13.95630416	0.398602544	15.49450363	0.292099825	0.169815756	0.958020178
13.97787997	0.412846401	15.4975118	0.291991136	0.17019585	0.957102307
13.98352989	0.411774677	15.50278421	0.291175946	0.176461191	0.955497263
14.37570424	0.589891075	15.50901798	0.285638581	0.213715399	0.950677362
14.21233658	0.524238248	15.50742018	0.285679403	0.179147127	0.95440872
14.07102496	0.46453882	15.51043253	0.28525478	0.196543659	0.958171825
14.07891406	0.438518579	15.50692543	0.278801439	0.2020957	0.955859366
14.17502828	0.481410657	15.51947003	0.277720575	0.222475748	0.951040159
14.21668494	0.484252176	15.53004738	0.272741722	0.255625205	0.944121555
14.15276623	0.473919153	15.521613	0.279087844	0.22240352	0.952000913
14.23768015	0.489153199	15.53415452	0.27469428	0.263075395	0.943019192
14.25311751	0.486554434	15.53814924	0.273105319	0.277643354	0.941959115
14.23031782	0.500388738	15.53193845	0.276516317	0.259045531	0.944599717
14.0986059	0.459332892	15.51718017	0.285965861	0.21800628	0.953711775
14.12220466	0.462517013	15.5246044	0.285358249	0.222844528	0.948686273
14.08228809	0.454510276	15.51507085	0.292932723	0.203279873	0.956479448
14.0275166	0.431434219	15.51070033	0.296267215	0.191725914	0.956329492
14.53061209	0.670368375	15.51351383	0.292567717	0.28335031	0.957694846
14.37108492	0.684355549	15.51466062	0.29443159	0.112606841	0.963248701
13.92173662	0.41817975	15.5178887	0.291808168	0.173430749	0.967952871
13.87298222	0.400895901	15.51375298	0.293031164	0.155748183	0.970271737
13.88716763	0.39972008	15.51502089	0.292858677	0.157083393	0.969111786
