NodeID,X,Y,Area
9055300,2241.911992,906.728965,12
3603543,2401.725097,933.364482,58
9057500,2401.725097,1226.355173,583
3600645,2321.818544,1199.719656,10
3600801,2348.454062,1306.261726,6
3600662_D,2401.725097,1332.897243,69.2
9058000,2321.818544,1492.710348,2380
5202006,2241.911992,1359.53276,16
5200658,2082.098888,1439.439313,6
5302002,2162.00544,1732.430004,47
9060500,2162.00544,1705.794487,47
5300657,2162.00544,1652.523452,17
5302011,2401.725097,1812.336556,5
53_ADC022,2401.725097,1732.430004,15
9060700,2401.725097,1705.794487,26
5804686,2401.725097,1545.981382,0
5300555_D,2002.192336,1865.607591,10
5302018,1810.194647,1839.526981,30
5300883,1948.921301,1545.981382,23
5300632,1842.379231,1625.887935,5
9067300,2002.192336,986.635517,27.3
3704648,1869.014749,64.935634,7
3702066,2135.369923,160.934477,1
9063000,1869.014749,267.476547,69
3704516,1549.38854,347.383099,14
3704643,1655.930609,400.654134,11.3
9064000,1709.201644,347.383099,36
3702028_Dwn,1869.014749,400.654134,81
3702018,1655.930609,453.925169,33
9065100,1735.837162,453.925169,33
9065500,2135.369923,533.831721,14
37VAILMUN,2055.46337,533.831721,44
3700708,1869.014749,653.691549,230
3700830,1869.014749,693.644825,250
3700519,2002.192336,773.551378,23
3700571,1922.285783,773.551378,40
3700642,1869.014749,1039.906552,430.7
9068000,1762.472679,533.831721,70
3700686,1762.472679,720.280343,38
3702000,1576.024057,1306.261726,62
9069500,1629.295092,1306.261726,62
3700823,1682.566127,1306.261726,6
3700539,1789.108196,1306.261726,31
9070000,1869.014749,1439.439313,948
9070500,1735.837162,1492.710348,4365
9071300,1549.38854,1625.887935,6
5301051,1549.38854,1545.981382,10
5302013,1496.117505,1599.252417,18
3804717,1309.668883,1332.897243,2
3804617,1096.584744,-105.420697,44.2
9073400,1096.584744,54.392408,105
3801594,694.27745,160.905215,23.4
9074000,910.136122,160.934477,41
3802015,811.917652,267.447284,34
9074800,856.865087,267.476547,34
3800869,910.136122,267.476547,40
9075700,697.051983,320.747582,33
3800854,883.500605,320.747582,8
3801104,990.042674,374.018617,11
3802048,1362.939918,400.654134,34
3801441,617.145431,587.102756,36
3802013,590.509913,826.822412,24
3800959,883.500605,587.102756,36
3804613,1469.481987,160.934477,10
3804625SU,1256.397848,81.027925,82
9078600,1442.84647,240.84103,134
3803713,1442.84647,427.289651,98
9080400,1442.84647,507.196204,232
3800880_D,1256.397848,773.551377,11
9080800,1256.397848,720.280343,14
3800968,1362.939918,720.280343,350
3801052,963.407157,800.186895,6
9081600,776.958535,853.45793,163
3800840,1016.678192,853.45793,65
9082800,1069.949226,906.728965,26
3800939,1069.949226,880.093447,47
3802080,1523.049645,962.432432,29
9084000,1523.049645,991.844197,29
3800902,1523.049645,1109.491256,7
3800925,1522.753022,1199.719656,48
9084600,1203.126813,1279.626208,17
3800688,1336.3044,1279.626208,20
9085000,1362.939918,1439.439313,1437
9085100,1336.3044,1492.710348,5966
3900548,1336.3044,1652.523452,19
9085200,1309.668883,1625.887935,24
3900825,1309.668883,1572.6169,24
3902002,1283.033366,1918.878626,130
3900540,1496.117505,1892.243109,3.5
3902001,1469.481987,1838.972074,50
9087500,1283.033366,1599.252417,181
4500788,1256.397848,1332.897243,4
9088000,1309.668883,1386.168278,16
4004657,990.042674,1146.448621,0
9089500,1123.220261,1199.719656,65
9090700,1149.855779,1199.719656,41
4500810,1123.220261,1466.07483,80
4500685,1016.678192,1412.803795,12
