Date,Level
06/1980,1202.27
07/1980,1204.65
08/1980,1204.58
09/1980,1204.92
10/1980,1203.21
11/1980,1203.68
12/1980,1202.88
01/1981,1203.58
02/1981,1204.31
03/1981,1202.15
04/1981,1198.44
05/1981,1196.22
06/1981,1193.7
07/1981,1192.88
08/1981,1192.78
09/1981,1192.67
10/1981,1194.11
11/1981,1195.42
12/1981,1198.28
01/1982,1201.15
02/1982,1202.39
03/1982,1201.02
04/1982,1198.3
05/1982,1196.93
06/1982,1196.42
07/1982,1196.48
08/1982,1197.39
09/1982,1198.96
10/1982,1201.06
11/1982,1204.76
12/1982,1208.37
01/1983,1206.83
02/1983,1210.25
03/1983,1211.59
04/1983,1211.26
05/1983,1212.33
06/1983,1220.27
07/1983,1225.44
08/1983,1222.17
09/1983,1218.21
10/1983,1215.32
11/1983,1213.38
12/1983,1212.33
01/1984,1209.82
02/1984,1207.67
03/1984,1206.05
04/1984,1205.91
05/1984,1209.74
06/1984,1212.17
07/1984,1212.92
08/1984,1211.4
09/1984,1210.06
10/1984,1208.63
11/1984,1208.29
12/1984,1207.9
01/1985,1206.95
02/1985,1206.68
03/1985,1206.43
04/1985,1206.16
05/1985,1209.83
06/1985,1214.25
07/1985,1213.95
08/1985,1212.79
09/1985,1213.14
10/1985,1211.16
11/1985,1208.76
12/1985,1205.49
01/1986,1201.59
02/1986,1202.72
03/1986,1202.45
04/1986,1204.78
05/1986,1208.16
06/1986,1210.13
07/1986,1207.14
08/1986,1207.52
09/1986,1208.83
10/1986,1208.7
11/1986,1209.77
12/1986,1210.39
01/1987,1210.23
02/1987,1210.58
03/1987,1208.57
04/1987,1207.67
05/1987,1205.99
06/1987,1206.6
07/1987,1207.8
08/1987,1209.56
09/1987,1209.79
10/1987,1208.69
11/1987,1210.05
12/1987,1211.03
01/1988,1211.17
02/1988,1211.7
03/1988,1210.74
04/1988,1208.36
05/1988,1206.23
06/1988,1203.18
07/1988,1201.43
08/1988,1199.57
09/1988,1199.16
10/1988,1199.15
11/1988,1199.46
12/1988,1199.75
01/1989,1201.4
02/1989,1202.49
03/1989,1200.28
04/1989,1197.35
